abc123@gmail.com,5
xyz123@gmail.com,4
xyz123@gmail.com,6
moksha123@gmail.com,6
moksha123@gmail.com,6
moksha123@gmail.com,0
moksha123@gmail.com,2
122@gmail.com,1
344@gmail.com,0
jkl123@gmail.com,0
jkl123@gmail.com,1
moksha123@gmail.com,2
moksha123@gmail.com,0
moksha123@gmail.com,2
122@gmail.com,2
122@gmail.com,6
moksha123@gmail.com,2
test123@gmail.com,2
test123@gmail.com,6
u,0
u,1
u,3
rb,0
rb@gmail.com,0
bbb@gmail.com,1
bbb@gmail.com,2
u,3
k,1
cc,3
cc,6
MK@gmail.com,5
MK@gmail.com,4
km@gmail.com,5
DM789@gmail.com,2
BBB@gmail.com,3
MMMM@gmail.com,1
mmm@gmail.com,1
hm@gmail.com,3
nb@gmail.com,2
vvv@gmail.com,2
lk@gmail.com,6
MM@gmail.com,1
MJ@gmail.com,2
ccc@gmail.com,6
ccc@gmail.com,5
G@gmail.com,1
HD@gmail.com,2
jk@gmail.com,0
jk@gmail.com,2
Km@gmail.com,6
mok122@gmail.com,4
mn@gmail.com,0
mn@gmail.com,2
mn@gmail.com,4
mca@gmail.com,1
3,2
